R_kpc,vc_total_km_s,vc_baryonic_km_s,vc_halo_km_s,vc_kepler_baryonic_km_s
38.75,200.08230184741876,89.41145809296474,178.99306878829586,90.0131833660006
39,199.93092841807217,89.13104684329437,178.96377462137627,89.72421573949758
39.25,199.77999026777385,88.85322150222134,178.93336620113368,89.43801336521935
39.5,199.62948323845907,88.57794314743163,178.90186853642584,89.1545324195754
39.75,199.47940330062124,88.3051736586482,178.86930604854453,88.87373004517194
40,199.32974654790718,88.03487569690004,178.83570258727497,88.59556432359472
40.25,199.1805091919543,87.76701268442794,178.8010814464433,88.31999424912333
40.5,199.03168755745892,87.50154878520479,178.76546537897184,88.04697970333909
40.75,198.88327807746427,87.23844888604813,178.7288766114596,87.77648143059123
41,198.7352772888583,86.97767857830577,178.69133685830525,87.50846101428698
41.25,198.5876818280715,86.71920414009334,178.6528673353892,87.24288085397322
41.5,198.44048842696577,86.46299251906515,178.61348877333094,86.97970414317871
41.75,198.29369390890412,86.20901131570017,178.57322143033548,86.71889484798713
42,198.14729518499493,85.95722876708527,178.5320851046458,86.46041768631254
42.25,198.00128925050095,85.70761373117868,178.49009914661266,86.20423810785053
42.5,197.8556731814061,85.4601356715376,178.4472824703973,85.95032227467874
42.75,197.7104441311331,85.21476464249386,178.4036535653188,85.69863704248243
43,197.56559932740444,84.97147127476303,178.35923050685838,85.44914994238118
43.25,197.421136069241,84.73022676147185,178.31403096733393,85.20182916333427
43.5,197.27705172409037,84.49100284459047,178.26807222625376,84.95664353510287
43.75,197.1333437250814,84.25377180175549,178.2213711803632,84.71356251174875
44,196.99000956839686,84.01850643347154,178.17394435339244,84.47255615564904
44.25,196.84704681076067,83.78518005067824,178.12580790551726,84.23359512200874
44.5,196.70445306703294,83.55376646267054,178.0769776425411,83.9966506438522
44.75,196.56222600790977,83.3242399653616,178.0274690248093,83.7616945174766
45,196.42036335772121,83.09657532987592,177.9772971758631,83.52869908835038
45.25,196.2788628923245,82.87074779146297,177.9264768908429,83.29763723744087
45.5,196.1377224370872,82.64673303872023,177.87502264464894,83.06848236795558
45.75,195.99693986495726,82.42450720311615,177.82294859986752,82.84120839248266
46,195.85651309461477,82.20404684880293,177.77026861447,82.61578972051608
46.25,195.7164400887035,81.98532896271041,177.716996249293,82.39220124635234
46.5,195.5767188521369,81.76833094491163,177.66314477530565,82.17041833734554
46.75,195.4373474304767,81.55303059925163,177.60872718067202,81.9504168225083
47,195.29832390837979,81.33940612423117,177.5537561776146,81.73217298144662
47.25,195.15964640811148,81.12743610413746,177.4982442090856,81.51566353361721
47.5,195.0213130881211,80.91709950041377,177.44220345525213,81.30086562789617
47.75,194.88332214167784,80.70837564326098,177.38564583980084,81.08775683244845
48,194.74567179556428,80.50124422346354,177.32858303606872,80.87631512488792
48.25,194.60836030882464,80.2956852844329,177.27102647300438,80.66651888271815
48.5,194.47138597156555,80.09167921446179,177.212987340966,80.45834687404464
48.75,194.33474710380733,79.88920673918287,177.15447659736083,80.25177824854927
49,194.19844205438332,79.68824891422554,177.0955049721311,80.04679252871836
49.25,194.06246919988456,79.48878711806468,177.03608297309094,79.843369601316
49.5,193.92682694364964,79.29080304505572,176.9762208911198,79.6414897090945
49.75,193.79151371479549,79.09427869865033,176.91592880521526,79.44113344273417
50,193.65652796728912,78.8991963847872,176.85521658741146,79.24228173300519
